job,company,location,salary,exp
Cloud Engineer,Pt Nomura Research Institute Indonesia,"Kuningan, Jakarta",IDR10.000.000 - 20.000.000,3 – 5 tahun
MANAGED SERVICE ENGINEER,PT Sinergy Informasi Pratama,Jakarta,IDR4.700.000 - 6.000.000,1 – 3 tahun
UI/UX Designer,Zero One Group,Jakarta,IDR5.000.000 - 8.000.000,1 – 3 tahun
Marketplace Ads Operations Specialist,Hon&yan,Jakarta,IDR4.000.000 - 8.000.000,1 – 3 tahun
General Administrasi,PT GRAND TIRTA REALTY,Yogyakarta,IDR2.100.000 - 2.500.000,1 – 3 tahun
Data Engineer,Pt Nomura Research Institute Indonesia,"Kuningan, Jakarta",IDR8.000.000 - 20.000.000,1 – 3 tahun
Dispatch Operation (Jakarta),PT Eka Mas Republik,Jakarta,Company prefers not to disclose,Kurang dari setahun
Front End Developer,PT Sribu Digital Kreatif,Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Sales and Admin,Runchise,Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Facebook/ Tiktok Advertiser,PT Semai Solusi Teknologi,Bandung,IDR3.000.000 - 4.000.000,1 – 3 tahun
Frontend Engineer React,Pt Nomura Research Institute Indonesia,"Kuningan, Jakarta",IDR7.000.000 - 18.000.000,1 – 3 tahun
Freelance Wordpress Developer,CV. Zonta Advisors,Tangerang,IDR100 - 200,1 – 3 tahun
Packaging Development Staff,PT Adev Natural Indonesia,Bogor,Company prefers not to disclose,1 – 3 tahun
Marketing communication Tiktok,PT. Tripacific Electrindo,"Gambir, Jakarta",IDR4.500.000 - 5.000.000,Kurang dari setahun
Lending Officer,Talenta Sumberdaya Manusia,Jakarta,IDR10.000.000 - 15.000.000,1 – 3 tahun
HR Recruitment,PT Panorama Sentrawisata Tbk,Jakarta,IDR100 - 200,1 – 3 tahun
Customer Service Marketplace,Hon&yan,"Penjaringan, Jakarta",IDR2.500.000 - 3.000.000,1 – 3 tahun
Data Entry,PT. Media Digitech Indonesia,Yogyakarta,IDR100 - 200,1 – 3 tahun
Odoo Functional Consultant (Full-WFH During COVID-19),Nurosoft Consulting (PT Nuroho Software Consulting),Surabaya,IDR4.500.000 - 8.500.000,1 – 3 tahun
Brand Strategist,Kaji Business Consulting & Creative Agency,Bandung,IDR4.000.000 - 5.500.000,1 – 3 tahun
HR Admin Internship,PT Visionet Data Internasional,Tangerang,Company prefers not to disclose,Kurang dari setahun
Account Receivable (A/R) Staff,Kalbis Institute,Jakarta,Company prefers not to disclose,1 – 3 tahun
Data Warehouse Engineer(Teradata),PT. Mitra Solutech Utama,Jakarta,MYR5.000 - 10.000,3 – 5 tahun
Digital Marketing Specialist,PT Yong Kurniawan Akselera,"Tebet, Jakarta",IDR4.500.000 - 5.000.000,Kurang dari setahun
Finance Accounting Assistant,Pt Ems Paramitra,"Pulo Gadung, Jakarta",IDR4.000.000 - 5.000.000,1 – 3 tahun
Finance and Budget Staff,Indonesia International Institute For Life Sciences,Jakarta,IDR100 - 200,1 – 3 tahun
Network Engineer,Indonesia International Institute For Life Sciences,Jakarta,IDR100 - 200,1 – 3 tahun
Senior Web Developer,Indonesia International Institute For Life Sciences,Jakarta,IDR100 - 200,1 – 3 tahun
Marketing Intern (Paid Internship),Kindnation Group,"Kembangan, Jakarta",IDR1.500.000,
UI UX Designer,Abishar Technologies,Tangerang,Company prefers not to disclose,1 – 3 tahun
Management Trainee,Solid Group Jakarta,"Tanah Abang, Jakarta",IDR4.500.000 - 8.000.000,
Teknisi Mikrobiologi,Pt Sahabat Lingkungan Hidup,Surabaya,Company prefers not to disclose,Kurang dari setahun
