job,company,location,salary,exp
Senior Net Developer,Globaltech Mandiri Indonesia,Bandung,IDR12.000.000 - 17.000.000,5 – 10 tahun
Accounting Manager,Globaltech Mandiri Indonesia,Bandung,IDR12.000.000 - 17.000.000,5 – 10 tahun
"Senior Account executive (English CV only, No Fresh Graduate)",Data Arts Xperience,Jakarta,IDR10.000.000 - 100.000.000,5 – 10 tahun
Programmer dan Operator CNC Bubut (Lathe),Pt. Furindosakti Sejahtera,"Cengkareng, Jakarta",IDR5.000.000 - 7.000.000,3 – 5 tahun
Java Programmer,PT Gamatechno Indonesia,Jakarta,IDR10.000.000 - 15.000.000,1 – 3 tahun
Area Sales Supervisor,Mayoutfit,Bandung,Company prefers not to disclose,3 – 5 tahun
Staff Operasional dan Administrasi,Biro Psikologi Dinamis,Yogyakarta,Company prefers not to disclose,1 – 3 tahun
Sales Executive,Ziel Kids,Jakarta,IDR4.000.000 - 40.500.000,1 – 3 tahun
Web Front End Developer (ReactJS),42Race,Jakarta,IDR15.000.000 - 20.000.000,3 – 5 tahun
FULLSTACK DEVELOPER,Magna Solusi Indonesia,Jakarta,IDR5.500.000 - 8.000.000,Kurang dari setahun
Account Marketing Representative,SIMGROUP,Nabire,IDR3.500.000 - 4.500.000,Kurang dari setahun
Data Analyst Internship,PT. Mega Harapan Mulia (Kelas.com),"Grogol Petamburan, Jakarta",IDR4.650.000 - 5.100.000,Kurang dari setahun
Fashion Designer Supervisor,Little Palmerhaus,Tangerang,IDR6.000.000 - 9.000.000,3 – 5 tahun
Direct Acquisition Sales,Romaju Persona Unggul,Jakarta,IDR5.000.000 - 6.000.000,1 – 3 tahun
E-commerce Marketing Staff,PT. Casa Verde Indonesia (OT Group),"Cengkareng, Jakarta",IDR6.000.000 - 6.500.000,Kurang dari setahun
Product Category Staff (Modern Market),PT. Casa Verde Indonesia (OT Group),"Cengkareng, Jakarta",IDR5.500.000 - 6.500.000,Kurang dari setahun
R and D Associate,PT Dapur Rumah Sejahtera,Jakarta,IDR8.000.000 - 12.000.000,1 – 3 tahun
Backend Developer - NodeJS,PT. Barrans Global Mandiri,Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Telesales Officer,Pt Tujuh Insan Madani,"Kembangan, Jakarta",IDR3.400.000 - 10.000.000,Kurang dari setahun
Project Manager,SRN Infinity Music,Jakarta,IDR7.000.000 - 11.000.000,
Programmer Laravel Flutter,SRN Infinity Music,Jakarta,IDR7.000.000 - 11.000.000,
Social Media Specialist for Cassion,Cassion Global Inovatif,"Cengkareng, Jakarta",IDR5.000.000 - 6.500.000,1 – 3 tahun
Business Development,Pt Fortress Data Services,"Menteng, Jakarta",IDR10.000.000 - 20.000.000,1 – 3 tahun
IT Consultant,Aegin Prima Solusi,"Kebon Jeruk, Jakarta",IDR5.000.000 - 8.000.000,Kurang dari setahun
Graphic Designer,Tripper Travel,"Kuningan, Jakarta",Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Art Director,Multilateral Global Cahaya,"Kebayoran Baru, Jakarta",IDR6.000.000 - 8.000.000,3 – 5 tahun
Development Team Leader,PT. Harapan Energie Indonesia,Tangerang,IDR8.000.000 - 12.000.000,3 – 5 tahun
Magang Marketing,DIGIKIDZ,Tangerang,Company prefers not to disclose,Kurang dari setahun
Fullstack Developer (Actxa),DIGIKIDZ,Tangerang,Company prefers not to disclose,Kurang dari setahun
"Sr. Fullstack Developer .NET, React JS",DIGIKIDZ,Tangerang,Company prefers not to disclose,Kurang dari setahun
Product Research and Development,Smith Berlin,"Cengkareng, Jakarta",IDR4.500.000 - 7.000.000,1 – 3 tahun
Corporate Sales,Pt Password Solusi Sistem,Jakarta,IDR5.000.000 - 7.500.000,Kurang dari setahun
Project Manager,Pt Password Solusi Sistem,Jakarta,IDR5.000.000 - 7.500.000,Kurang dari setahun
GRAPHIC DESIGNER,cartexblanche,"Cengkareng, Jakarta",IDR3.500.000 - 4.500.000,1 – 3 tahun
Social Media Content Creator Strategist,Livinode (pt. Aleia Terang Buana),Surabaya,IDR4.000.000 - 5.000.000,1 – 3 tahun
Junior Merchandising Mom Kids Clothing Category,PT Grow Commerce Indonesia,Jakarta,IDR5.000.000 - 7.500.000,1 – 3 tahun
Psikolog,PT ISA,Bandung,IDR4.000.000 - 4.200.000,Kurang dari setahun
Senior Test Analyst,Beyondsoft International,Jakarta,IDR20.000.000 - 33.000.000,5 – 10 tahun
3D Set Designer,MINESKI INDONESIA,"Grogol Petamburan, Jakarta",IDR8.000.000 - 11.000.000,1 – 3 tahun
Telemarketing,Asia Pro Berjangka,"Menteng, Jakarta",IDR3.500.000 - 4.000.000,1 – 3 tahun
Mobile Programmer Intern,Pt Super Giga Generasi,"Kembangan, Jakarta",IDR2.000.000 - 2.500.000,Kurang dari setahun
MANDARIN TRANSLATOR,Kalimantan Besi Baja,Padang,IDR10.000.000 - 13.000.000,3 – 5 tahun
Store Specialist Sumedang,PT Mitra Kerja Utama,Sumedang,IDR3.000.000 - 3.300.000,Kurang dari setahun
Java Developer,PT Bimasakti Multi Sinergi,Surabaya,IDR5.500.000 - 7.000.000,1 – 3 tahun
Tiktok Content Creator,PT Gree Electric Appliances Indonesia,Jakarta,IDR5.000.000 - 7.000.000,Kurang dari setahun
Link Building Outreach - PartnerShip - Public Relations - Remote,414 Media Pte Ltd,Jakarta,IDR3.000.000 - 5.000.000,1 – 3 tahun
Marketing Analyst,ilmuOne Data,Jakarta,IDR5.000.000 - 8.000.000,Kurang dari setahun
Marketing Developer,ilmuOne Data,Jakarta,IDR5.000.000 - 8.000.000,Kurang dari setahun
Human Resource Development (HRD),Mr. BOB Kampung Inggris,Pare,Company prefers not to disclose,1 – 3 tahun
Business Development Officer,PT. Prodata Sistem Teknologi,Jakarta,IDR4.000.000 - 6.000.000,1 – 3 tahun
Accounting dan Finance Staff,ETM Metal Grup,Tangerang,IDR4.000.000 - 4.400.000,1 – 3 tahun
TikTok Content Creator,PT. Zocos Halal Indonesia,Bandung,IDR2.000.000 - 3.000.000,Kurang dari setahun
MOBILE APPLICATION DEVELOPER,Osbond Gym,Jakarta,IDR5.000.000 - 8.000.000,Kurang dari setahun
Production Line Leader,PT Smoore Technology Indonesia,Malang,IDR5.000.000 - 6.000.000,1 – 3 tahun
Sales,Zeppelin Indonesia,Jakarta,IDR4.000.000 - 4.500.000,1 – 3 tahun
FnB Quality Control Officer,Pt Bigit Republik Aplikasi,Jakarta,IDR4.500.000 - 5.500.000,1 – 3 tahun
Senior Research Executive Qualitative,Deka Marketing Research,"Kebayoran Baru, Jakarta",IDR7.000.000 - 9.000.000,1 – 3 tahun
Training and Development Specialist,PT Smoore Technology Indonesia,Malang,IDR5.000.000 - 6.000.000,1 – 3 tahun
Product Manager,Jakmall.com,"Kebon Jeruk, Jakarta",IDR7.000.000 - 17.000.000,1 – 3 tahun
CHRISTIAN PRESCHOOL TEACHER,Apple Tree Preschool BSD,Tangerang,IDR4.000.000 - 6.000.000,1 – 3 tahun
Software Engineer,Apple Tree Preschool BSD,Tangerang,IDR4.000.000 - 6.000.000,1 – 3 tahun
CHRISTIAN KINDERGARTEN TEACHER,Apple Tree Preschool BSD,Tangerang,IDR4.000.000 - 6.000.000,1 – 3 tahun
QA Automation,Youtap Indonesia,Jakarta,IDR10.000.000 - 18.000.000,3 – 5 tahun
Teknisi CCTV/Instalasi CCTV and AC,Zapplerepair Jakarta,"Mampang Prapatan, Jakarta",IDR3.000.000 - 4.000.000,1 – 3 tahun
Junior Technical Analytics Consultant,ilmuOne Data,Jakarta,IDR5.000.000 - 8.000.000,Kurang dari setahun
People Operation Manager,Artemis Indonesia,"Mampang Prapatan, Jakarta",Company prefers not to disclose,5 – 10 tahun
(Korean Speaker) InfoSec Digital Marketing,PT Netmarks Indonesia,Jakarta,IDR5.500.000 - 6.500.000,Kurang dari setahun
Assistant Sales Manager- Fresh graduate,"Pt Yongwang Electronics, Tcl Indonesia","Grogol Petamburan, Jakarta",IDR5.000.000 - 8.000.000,Kurang dari setahun
Software Engineer (Jr and Sr),Whiz,Jakarta,IDR10.000.000 - 30.000.000,1 – 3 tahun
Creative Designer,Jakmall.com,Jakarta,IDR5.000.000 - 6.000.000,1 – 3 tahun
SAP ABAP Developer,PT. Reeracoen Indonesia,Tangerang,IDR15.000.000 - 25.000.000,5 – 10 tahun
Account Executive Jeneponto,SIMGROUP,Sinjai,IDR3.000.000 - 5.000.000,1 – 3 tahun
Account Executive Sinjai,SIMGROUP,Sinjai,IDR3.000.000 - 5.000.000,1 – 3 tahun
Junior Backend Developer,Energeek The E-Government Solution,Surabaya,IDR3.800.000 - 4.000.000,Kurang dari setahun
Creative Graphic Design,PT. Sukses Sejati Internasional,Tangerang,IDR5.000.000 - 6.000.000,1 – 3 tahun
Support Engineer,Avana Indonesia,Bandung,IDR12.000.000 - 15.000.000,3 – 5 tahun
Social Media Specialist BANDUNG,PT. Hey Fish Indonesia,Bandung,IDR4.000.000 - 6.000.000,1 – 3 tahun
SUPERVISOR FORMULASI R&D,PT Gracia Pharmindo,Bandung,Company prefers not to disclose,1 – 3 tahun
ILLUSTRATOR,Cosmonauts Spacewear,Jakarta,IDR5.000.000 - 6.000.000,1 – 3 tahun
Quality Assurance,Pt. Swadharma Duta Data,"Kramat Jati, Jakarta",IDR4.000.000 - 6.000.000,1 – 3 tahun
Project Coordinator,Phintraco Technology,"Setiabudi, Jakarta",IDR5.000.000 - 6.000.000,1 – 3 tahun
Senior Frontend Developer,PT Suitmedia Kreasi Indonesia,Jakarta,IDR6.000.000 - 10.000.000,1 – 3 tahun
Senior Accountant,SRN Infinity Music,Jakarta,IDR10.000.000 - 16.000.000,3 – 5 tahun
Sales Development Representative,Toffeedev,"Kebon Jeruk, Jakarta",IDR3.500.000 - 5.000.000,Kurang dari setahun
Data Scientist,PT. Ebdesk Teknologi,Jakarta,IDR5.000.000 - 7.800.000,Kurang dari setahun
Ass. Merchandise Manager,PT. Ebdesk Teknologi,Jakarta,IDR5.000.000 - 7.800.000,Kurang dari setahun
Ass. Merchandise Manager,PT. Ebdesk Teknologi,Jakarta,IDR5.000.000 - 7.800.000,Kurang dari setahun
Sales Specialist,PT. Ebdesk Teknologi,Jakarta,IDR5.000.000 - 7.800.000,Kurang dari setahun
MARKETING KOMUNIKASI,Lamonte Mode,Depok,IDR3.000.000 - 3.500.000,1 – 3 tahun
Product Operation Specialist,Lamonte Mode,Depok,IDR3.000.000 - 3.500.000,1 – 3 tahun
ADMIN ESTATE,Griyo Mapan Santoso,Surabaya,IDR4.000.000 - 4.800.000,1 – 3 tahun
Implementation Specialist - HR (Payroll Consultant),Mekari,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Backend Developer,Terralogiq,"Kemang, Jakarta",IDR6.500.000 - 8.000.000,1 – 3 tahun
Product Developer,MNC Portal Indonesia,Jakarta,IDR7.000.000 - 12.000.000,1 – 3 tahun
Telemarketing,Pt Tiga Naga Securindo,Jakarta,IDR100 - 200,1 – 3 tahun
Mobile Developer,PT Lumos Inisiatif Indonesia,"Kebon Jeruk, Jakarta",IDR6.000.000 - 9.000.000,1 – 3 tahun
Mobile Developer,PT Lumos Inisiatif Indonesia,"Kebon Jeruk, Jakarta",IDR6.000.000 - 9.000.000,1 – 3 tahun
IT Development Manager,AsiaQuest Indonesia,"Menteng, Jakarta",IDR25.000.000 - 35.000.000,3 – 5 tahun
Solution Analyst,PT Inti Corpora Teknologi,"Tanah Abang, Jakarta",IDR12.000.000 - 15.000.000,5 – 10 tahun
Sales Logistic Associate-B2B,PT. Global Bintang Timur Ekspress (J&T Express Jakarta),"Sunter, Jakarta",IDR5.000.000 - 7.000.000,1 – 3 tahun
Mechanical Technician,PT. Global Bintang Timur Ekspress (J&T Express Jakarta),"Sunter, Jakarta",IDR5.000.000 - 7.000.000,1 – 3 tahun
Electrical Technician,PT. Global Bintang Timur Ekspress (J&T Express Jakarta),"Sunter, Jakarta",IDR5.000.000 - 7.000.000,1 – 3 tahun
"Finance, Accounting, & Tax Specialist",PT. Global Bintang Timur Ekspress (J&T Express Jakarta),"Sunter, Jakarta",IDR5.000.000 - 7.000.000,1 – 3 tahun
Shift Operator (Water Treatment Experience),PT. Global Bintang Timur Ekspress (J&T Express Jakarta),"Sunter, Jakarta",IDR5.000.000 - 7.000.000,1 – 3 tahun
Product Manager,TemanCEO,Bandung,IDR10.000.000 - 15.000.000,3 – 5 tahun
ACCOUNT EXECUTIVE ISP,PT. PERMATA INDO SEJAHTERA,Jakarta,IDR2.700.000 - 10.000.000,Kurang dari setahun
Telemarketing Intership,PT Bimasakti Multi Sinergi,Sidoarjo,IDR1.000.000 - 1.200.000,Kurang dari setahun
Sales Task Force Morowali,SIMGROUP,Palu,IDR3.000.000 - 5.000.000,Kurang dari setahun
Software Quality Assurance,Mitramas Infosys Global,"Tebet, Jakarta",IDR5.500.000 - 7.000.000,Kurang dari setahun
Sales Staff - Samarinda,Atlaz,Samarinda,IDR4.000.000 - 8.000.000,1 – 3 tahun
Sales Staff - Banjarmasin,Atlaz,Banjarmasin,IDR4.000.000 - 8.000.000,1 – 3 tahun
Sales Staff - Balikpapan,Atlaz,Balikpapan,IDR4.000.000 - 8.000.000,1 – 3 tahun
Sales Staff - Palembang,Atlaz,Palembang,IDR4.000.000 - 8.000.000,1 – 3 tahun
Sales Staff - Denpasar,Atlaz,Denpasar,IDR4.000.000 - 8.000.000,1 – 3 tahun
Sales Staff - Makassar,Atlaz,Makassar,IDR4.000.000 - 8.000.000,1 – 3 tahun
Legal Manager and Corporate Secretary,PT Mitra Kerja Utama,Jakarta,IDR14.500.000 - 16.500.000,3 – 5 tahun
IT Business Analyst,PT Chrombit Digital Lab,Jakarta,IDR4.500.000 - 8.000.000,Kurang dari setahun
Web Engineer,Pt Merah Cipta Media,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Associate Product Manager,Asa Ren Pte Ltd,Jakarta,IDR5.000.000 - 7.500.000,Kurang dari setahun
Associate Product Manager,Asa Ren Pte Ltd,Jakarta,IDR5.000.000 - 7.500.000,Kurang dari setahun
Network Operation Centre (NOC) Officer,PT. Multi Kontrol Nusantara,"Kuningan, Jakarta",IDR4.000.000 - 55.005.000,1 – 3 tahun
FINANCE STAFF,Pt Acc Express,Jakarta,IDR4.000.000 - 5.500.000,Kurang dari setahun
Partnership dan Marketing Co-Branding Aplikasi e-Money,PT Bimasakti Multi Sinergi,Sidoarjo,IDR5.000.000 - 7.000.000,Kurang dari setahun
Digital Marketing Supervisor,PT. Onna Prima Utama,"Penjaringan, Jakarta",IDR7.000.000 - 9.000.000,1 – 3 tahun
CONTENT CREATOR,cartexblanche,"Cengkareng, Jakarta",IDR4.000.000 - 5.500.000,1 – 3 tahun
Campaign Officer,PT WONGSOYUDAN PRATAMA INDONESIA,Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Account Executive,Pt Nusa Unggul Sarana Adicipta,Surabaya,Company prefers not to disclose,1 – 3 tahun
Specifier,Pt Nusa Unggul Sarana Adicipta,Yogyakarta,Company prefers not to disclose,1 – 3 tahun
Marketing Communication,Pt. Exacom Abadi Sentosa,"Cakung, Jakarta",IDR4.500.000 - 8.000.000,Kurang dari setahun
General Affair (Mandarin ONLY),PT Nanyang Chemical Technolgy Indonesia,"Kembangan, Jakarta",IDR6.000.000 - 12.000.000,1 – 3 tahun
Content Creator,Herbacore Indonesia,Surabaya,IDR4.000.000 - 4.500.000,Kurang dari setahun
Account Executive,Socialights,"Mampang Prapatan, Jakarta",IDR7.000.000 - 9.000.000,1 – 3 tahun
IT Project Manager,PT Evolusi Teknologi Indonesia (Evoteks),Jakarta,IDR6.000.000 - 10.000.000,1 – 3 tahun
IT Business Analyst,PT Chrombit Digital Lab,Jakarta,IDR4.500.000 - 8.000.000,Kurang dari setahun
Fullstack Developer,PT Lumos Inisiatif Indonesia,"Kebon Jeruk, Jakarta",IDR8.000.000 - 12.000.000,3 – 5 tahun
Golang Developer,PT Lumos Inisiatif Indonesia,"Kebon Jeruk, Jakarta",IDR8.000.000 - 12.000.000,3 – 5 tahun
Sales Executive/Account Manager,PT Lumos Inisiatif Indonesia,"Kebon Jeruk, Jakarta",IDR8.000.000 - 12.000.000,3 – 5 tahun
Mobile Developer,PT Lumos Inisiatif Indonesia,"Kebon Jeruk, Jakarta",IDR8.000.000 - 12.000.000,3 – 5 tahun
Brand Marketing Manager,PT Lumos Inisiatif Indonesia,"Kebon Jeruk, Jakarta",IDR8.000.000 - 12.000.000,3 – 5 tahun
Telemarketing (Part Time),Fuse Nano Tekno,"Kebon Jeruk, Jakarta",IDR2.000.000 - 3.000.000,Kurang dari setahun
Canvasser,Finfleet,Jakarta,IDR4.641.000 - 6.500.000,1 – 3 tahun
Sourcing Associate,Finfleet,Jakarta,IDR4.641.000 - 6.500.000,1 – 3 tahun
Supervisor Store,PT Dapur Rumah Sejahtera,Jakarta,IDR5.000.000 - 6.000.000,3 – 5 tahun
BD Operation,PT Dapur Rumah Sejahtera,Jakarta,IDR5.000.000 - 6.000.000,3 – 5 tahun
BD Operation,PT Dapur Rumah Sejahtera,Jakarta,IDR5.000.000 - 6.000.000,3 – 5 tahun
Programmer,Pt Nusa Unggul Sarana Adicipta,Surabaya,Company prefers not to disclose,1 – 3 tahun
Programmer,Pt Nusa Unggul Sarana Adicipta,Surabaya,Company prefers not to disclose,1 – 3 tahun
Product Manager (Senior Level),Travelio,"Gambir, Jakarta",IDR20.000.000 - 35.000.000,3 – 5 tahun
IT SUPPORT,Pt Hade Sejati Pratama,"Gambir, Jakarta",IDR5.000.000 - 7.000.000,Kurang dari setahun
Content Creator,PT. Kopi Kina Indonesia,"Senopati, Jakarta",IDR4.000.000 - 6.000.000,1 – 3 tahun
Marketing Automation Hubspot/Marketo Specialist (Location Free),KKBC INDONESIA (PT. BRAND COMMUNICATIONS INDONESIA),Jakarta,IDR7.500.000 - 8.500.000,3 – 5 tahun
Mekanik Sepeda FRG Bali,PT Famindo roda Gemilang,Denpasar,IDR3.500.000 - 4.000.000,1 – 3 tahun
SUPERVISOR AREA SURABAYA,PT KARYA SEJATI MAKMUR,Surabaya,IDR3.000.000 - 6.000.000,1 – 3 tahun
SALES AND MARKETING,PT. Pusat Gadget Indonesia,Bandung,IDR2.000.000 - 5.000.000,1 – 3 tahun
Senior Programmer,PT. Pusat Gadget Indonesia,Bandung,IDR2.000.000 - 5.000.000,1 – 3 tahun
Product Marketing Manager,Javara Indonesia,"Mampang Prapatan, Jakarta",IDR10.000.000 - 15.000.000,5 – 10 tahun
SEO Specialist,PT Inovasi Sukses Sentosa,"Kebon Jeruk, Jakarta",IDR4.600.000 - 6.000.000,1 – 3 tahun
Credit Marketing Officer,SIMGROUP,Batulicin,IDR3.000.000 - 4.000.000,Kurang dari setahun
Operation Manager (Surabaya),PT Jaya Digital Properti (FITHUB),Surabaya,IDR6.000.000 - 11.000.000,1 – 3 tahun
Operation Manager (Bandung),PT Jaya Digital Properti (FITHUB),Bandung,IDR6.000.000 - 11.000.000,1 – 3 tahun
Programer Web,BBR Institute,Bandung,IDR3.000.000 - 8.000.000,Kurang dari setahun
Tiktok SocMed n Content Creator,Capsen - Pure Essential Oil,Jakarta,IDR4.000.000 - 6.000.000,1 – 3 tahun
UIUX Designer Officer,Pt Ada Ide Langsung Jalan,Malang,IDR3.000.000 - 6.000.000,3 – 5 tahun
Retail Store Manager,Mazuta Group,Tangerang,IDR6.500.000 - 8.500.000,3 – 5 tahun
Accounting Associate,Emew Labs Pte.ltd Singapore,Jakarta,IDR4.000.000 - 8.000.000,Kurang dari setahun
Group Lending Province Manager,Emew Labs Pte.ltd Singapore,Jakarta,IDR4.000.000 - 8.000.000,Kurang dari setahun
SALES MARKETPLACE DAN E-COMMERCE,DENTAL JAYA,"Kebon Jeruk, Jakarta",IDR4.000.000 - 5.000.000,1 – 3 tahun
Drupal Developer,PT. Reeracoen Indonesia,Bandung,IDR10.000.000 - 20.000.000,3 – 5 tahun
Drupal Developer,PT. Reeracoen Indonesia,Bandung,IDR10.000.000 - 20.000.000,3 – 5 tahun
Technical Project Manager,PT. Reeracoen Indonesia,Bandung,IDR10.000.000 - 20.000.000,3 – 5 tahun
Business Development Manager - B2B - Education Partnership,Pt Yipu Teknologi Alami,"Grogol Petamburan, Jakarta",IDR5.000.000 - 10.000.000,1 – 3 tahun
Video Editor,Pt Yipu Teknologi Alami,"Grogol Petamburan, Jakarta",IDR5.000.000 - 10.000.000,1 – 3 tahun
Senior Client Service,Pt Yipu Teknologi Alami,"Grogol Petamburan, Jakarta",IDR5.000.000 - 10.000.000,1 – 3 tahun
Javascript Developer,Impactfirst,Jakarta,IDR8.000.000 - 15.000.000,1 – 3 tahun
Wordpress Developer,PT.Incognito Asia Agensi,Denpasar,Company prefers not to disclose,1 – 3 tahun
Customer Consultant (Wanita),Pt. Exacom Abadi Sentosa,"Cakung, Jakarta",IDR5.000.000 - 7.000.000,Kurang dari setahun
Senior Tax Consultant,PT XLT GLobal Consulting,"Kuningan, Jakarta",IDR8.000.000 - 12.500.000,3 – 5 tahun
HRD & GA MANAGER,PT XLT GLobal Consulting,"Kuningan, Jakarta",IDR8.000.000 - 12.500.000,3 – 5 tahun
HRD & GA MANAGER,PT XLT GLobal Consulting,"Kuningan, Jakarta",IDR8.000.000 - 12.500.000,3 – 5 tahun
Credit Manager,PT XLT GLobal Consulting,"Kuningan, Jakarta",IDR8.000.000 - 12.500.000,3 – 5 tahun
warehouse admin,PT Sejahtera Mandiri Perkasa,"Penjaringan, Jakarta",IDR3.500.000 - 4.000.000,1 – 3 tahun
Social Media Specialist,PT Sejahtera Mandiri Perkasa,"Penjaringan, Jakarta",IDR3.500.000 - 4.000.000,1 – 3 tahun
Area Sales Manager,PT Sejahtera Mandiri Perkasa,"Penjaringan, Jakarta",IDR3.500.000 - 4.000.000,1 – 3 tahun
Personal Assistant and Marketing Support,Gamal,"Blok M, Jakarta",IDR5.000.000 - 10.000.000,1 – 3 tahun
Sales Executive (Canvassing),Pt. Aksamala Adi Andana,Yogyakarta,IDR3.000.000 - 6.000.000,Kurang dari setahun
Graphic Designer - Work from Anywhere,DeskTeam360.com,Malang,IDR3.000.000 - 3.500.000,1 – 3 tahun
Technical Program Manager,Sinergia Consultant,Surabaya,IDR4.800.000 - 6.000.000,3 – 5 tahun
Fullstack Developer,PT. Vlink Consulting Indonesia,Jakarta,IDR10.000.000 - 25.000.000,1 – 3 tahun
Social Media Specialist,Banananina (Bekasi),Bekasi,IDR5.000.000 - 7.000.000,Kurang dari setahun
Mandarin Translator,Tribhakti Inspektama,Jakarta,IDR5.000.000 - 7.000.000,Kurang dari setahun
Back End Developer,Avows Technologies,Jakarta,IDR9.000.000 - 20.000.000,1 – 3 tahun
IT QA,Avows Technologies,Jakarta,IDR9.000.000 - 20.000.000,1 – 3 tahun
Backend Developer,PT Chrombit Digital Lab,"Pasar Minggu, Jakarta",IDR5.000.000 - 7.000.000,Kurang dari setahun
Logistics Manager,Hisense Indonesia,"Grogol Petamburan, Jakarta",IDR12.000.000 - 14.000.000,3 – 5 tahun
Data Scientist,Hisense Indonesia,"Grogol Petamburan, Jakarta",IDR12.000.000 - 14.000.000,3 – 5 tahun
Backend Developer,Hisense Indonesia,"Grogol Petamburan, Jakarta",IDR12.000.000 - 14.000.000,3 – 5 tahun
Backend Developer,Hisense Indonesia,"Grogol Petamburan, Jakarta",IDR12.000.000 - 14.000.000,3 – 5 tahun
Assistant Product Manager,Hisense Indonesia,"Grogol Petamburan, Jakarta",IDR12.000.000 - 14.000.000,3 – 5 tahun
Growth Marketer,PT Digital Wings Indonesia,Jakarta,IDR7.000.000 - 10.000.000,1 – 3 tahun
HR GA,PT Daginng Grup Indonesia,Tangerang,IDR5.000.000 - 7.000.000,1 – 3 tahun
ASM Project,PT Daginng Grup Indonesia,Tangerang,IDR5.000.000 - 7.000.000,1 – 3 tahun
Business Intelligence (Data Analyst),Youtap Indonesia,Jakarta,IDR10.000.000 - 15.000.000,3 – 5 tahun
Backend SDE,Halodoc,Jakarta,IDR22.000.000 - 55.000.000,3 – 5 tahun
Junior Product Manager,PT. Huangtec Mandiri Jaya,Jakarta,IDR5.000.000 - 7.000.000,Kurang dari setahun
Staff Customer Colletion (Finance AR),PT Altama Surya Anugerah,"Penjaringan, Jakarta",IDR6.100.000 - 6.800.000,1 – 3 tahun
Flutter Mobile Apps Developer,Goldstep Indonesia,Bandung,IDR5.000.000 - 7.000.000,Kurang dari setahun
Software Developer,Houzcall Teknologi Indonesia,"Kebayoran Baru, Jakarta",IDR5.000.000 - 7.000.000,Kurang dari setahun
Product Manager,Fintech Startup,Jakarta,IDR20.000.000 - 40.000.000,5 – 10 tahun
Product Manager,Fintech Startup,Jakarta,IDR20.000.000 - 40.000.000,5 – 10 tahun
Product Manager,Fintech Startup,Jakarta,IDR20.000.000 - 40.000.000,5 – 10 tahun
Product Manager,Fintech Startup,Jakarta,IDR20.000.000 - 40.000.000,5 – 10 tahun
Translator Mandarin,PT. Hey Fish Indonesia,"Grogol Petamburan, Jakarta",IDR15.000.000 - 20.000.000,1 – 3 tahun
Business Consultant,PT. Hey Fish Indonesia,"Grogol Petamburan, Jakarta",IDR15.000.000 - 20.000.000,1 – 3 tahun
Human Resource Officer,Adminkita.com,"Kembangan, Jakarta",IDR4.000.000 - 5.000.000,1 – 3 tahun
Team Leader Tutor,PT Surala Suluh Karsa,Jakarta,IDR5.000.000 - 5.600.000,1 – 3 tahun
Sales Beauty Consultant / Beauty Advisor,SOZO Skin Clinic / PT Pohon Biru Jaya,Bekasi,IDR3.200.000 - 3.600.000,1 – 3 tahun
Marketing Administration,PT. Equnix Business Solutions,"Duren Sawit, Jakarta",IDR4.500.000 - 7.000.000,Kurang dari setahun
Account Executive,Naisu Studio,"Kebayoran Baru, Jakarta",IDR6.000.000 - 6.500.000,3 – 5 tahun
Senior English Speaking Marketing Executive,Breadnbeyond,Surabaya,IDR4.000.000 - 5.000.000,
Senior Talent Success,Glints Indonesia,Jakarta,Company prefers not to disclose,1 – 3 tahun
SALES SUMATERA,Pt Waktu Cipta Dimensi,"Cengkareng, Jakarta",IDR6.000.000 - 8.000.000,1 – 3 tahun
Salesforce Programmer Consultant,PT. Asian Sigma Technology,Jakarta,IDR11.000.000 - 15.000.100,1 – 3 tahun
BRANCH SALES SUPERVISOR,Pt. Hikmat Fashion,"Cakung, Jakarta",IDR5.000.000 - 6.000.000,1 – 3 tahun
Fullstack Developer (Laravel),Geekgarden,Yogyakarta,IDR2.000.000 - 2.500.000,Kurang dari setahun
DevOps Engineer [Remote],PT Karsa Omni Teknologi Adicipta,"Cilandak, Jakarta",IDR5.000.000 - 7.000.000,1 – 3 tahun
Desain Grafis dan Video Editing,EL MEDINAH INDONESIA,Jakarta,IDR100 - 200,1 – 3 tahun
Administrasi,PT. Madani Technology,Yogyakarta,IDR1.850.000 - 2.750.000,Kurang dari setahun
Admin Sales/Customer manager,PT Menara Pelangi,Cikarang,IDR3.000.000 - 4.600.000,1 – 3 tahun
Server Engineer (Sys Admin),PT Data Andalan Utama Semarang,Semarang,IDR2.000.000 - 9.000.000,1 – 3 tahun
Senior Corporate Finance Associate,Agate,Bandung,IDR20.000.000 - 30.000.000,3 – 5 tahun
RECRUITMENT AND TRAINING STAFF,Yummys Motherlacto Indonesia,Driyorejo,IDR1.000.000 - 4.000.000,Kurang dari setahun
Sales Representative,Pijar Indonesia,"Tebet, Jakarta",IDR5.000.000 - 5.500.000,1 – 3 tahun
Sales Representative,Pijar Indonesia,"Tebet, Jakarta",IDR5.000.000 - 5.500.000,1 – 3 tahun
